#,title,acRate,difficulty,freq,likes,dislikes,link
1,Two Sum,47.208173,Easy,99.247871,22274,756,https://leetcode.com/problems/two-sum/
2,Add Two Numbers,36.304264,Medium,95.285525,12609,2893,https://leetcode.com/problems/add-two-numbers/
3,Longest Substring Without Repeating Characters,31.863558,Medium,93.781268,15560,776,https://leetcode.com/problems/longest-substring-without-repeating-characters/
5,Longest Palindromic Substring,30.952895,Medium,87.691412,11783,731,https://leetcode.com/problems/longest-palindromic-substring/
9,Palindrome Number,50.701204,Easy,57.982623,3540,1780,https://leetcode.com/problems/palindrome-number/
11,Container With Most Water,53.042386,Medium,78.330851,10352,741,https://leetcode.com/problems/container-with-most-water/
13,Roman to Integer,57.351724,Easy,71.743101,1033,86,https://leetcode.com/problems/roman-to-integer/
14,Longest Common Prefix,36.936210,Easy,77.677425,4625,2325,https://leetcode.com/problems/longest-common-prefix/
15,3Sum,28.826851,Medium,90.135550,11544,1147,https://leetcode.com/problems/3sum/
16,3Sum Closest,46.450327,Medium,69.568680,3621,182,https://leetcode.com/problems/3sum-closest/
17,Letter Combinations of a Phone Number,50.710668,Medium,79.082980,6577,546,https://leetcode.com/problems/letter-combinations-of-a-phone-number/
18,4Sum,35.774482,Medium,65.245167,3695,446,https://leetcode.com/problems/4sum/
20,Valid Parentheses,40.210954,Easy,92.057645,8040,330,https://leetcode.com/problems/valid-parentheses/
21,Merge Two Sorted Lists,57.112599,Easy,66.895596,7377,807,https://leetcode.com/problems/merge-two-sorted-lists/
22,Generate Parentheses,66.975338,Medium,63.311613,8672,355,https://leetcode.com/problems/generate-parentheses/
31,Next Permutation,34.235371,Medium,83.038949,6172,2059,https://leetcode.com/problems/next-permutation/
33,Search in Rotated Sorted Array,36.484828,Medium,84.426312,8498,704,https://leetcode.com/problems/search-in-rotated-sorted-array/
34,Find First and Last Position of Element in Sorted Array,38.198923,Medium,61.522566,6212,215,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/
36,Valid Sudoku,51.549394,Medium,53.718479,2807,580,https://leetcode.com/problems/valid-sudoku/
39,Combination Sum,60.826801,Medium,57.067686,6565,165,https://leetcode.com/problems/combination-sum/
43,Multiply Strings,35.548657,Medium,52.276833,2725,1088,https://leetcode.com/problems/multiply-strings/
45,Jump Game II,33.347047,Medium,56.993749,4880,200,https://leetcode.com/problems/jump-game-ii/
46,Permutations,68.205306,Medium,60.770438,6644,139,https://leetcode.com/problems/permutations/
48,Rotate Image,62.242434,Medium,73.881037,5555,362,https://leetcode.com/problems/rotate-image/
49,Group Anagrams,60.658942,Medium,84.905063,5900,240,https://leetcode.com/problems/group-anagrams/
53,Maximum Subarray,48.181942,Easy,86.246562,12900,613,https://leetcode.com/problems/maximum-subarray/
54,Spiral Matrix,37.475256,Medium,82.059500,4243,687,https://leetcode.com/problems/spiral-matrix/
55,Jump Game,35.712340,Medium,50.840969,6897,440,https://leetcode.com/problems/jump-game/
56,Merge Intervals,42.111063,Medium,97.743614,8149,398,https://leetcode.com/problems/merge-intervals/
67,Add Binary,47.978188,Easy,67.923962,3008,369,https://leetcode.com/problems/add-binary/
70,Climbing Stairs,49.068312,Easy,65.285978,7149,221,https://leetcode.com/problems/climbing-stairs/
71,Simplify Path,35.423049,Medium,58.065283,537,152,https://leetcode.com/problems/simplify-path/
74,Search a 2D Matrix,39.009539,Medium,54.507416,3713,208,https://leetcode.com/problems/search-a-2d-matrix/
78,Subsets,66.799598,Medium,50.131703,6308,116,https://leetcode.com/problems/subsets/
79,Word Search,37.857849,Medium,74.244881,6160,252,https://leetcode.com/problems/word-search/
88,Merge Sorted Array,41.262068,Easy,73.583259,395,54,https://leetcode.com/problems/merge-sorted-array/
91,Decode Ways,27.563546,Medium,80.148767,4700,3508,https://leetcode.com/problems/decode-ways/
98,Validate Binary Search Tree,29.239091,Medium,60.709362,6569,722,https://leetcode.com/problems/validate-binary-search-tree/
103,Binary Tree Zigzag Level Order Traversal,51.120541,Medium,60.330700,3774,132,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/
121,Best Time to Buy and Sell Stock,52.204626,Easy,96.037654,9362,389,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
122,Best Time to Buy and Sell Stock II,59.422484,Easy,58.777205,4635,2096,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/
134,Gas Station,42.228312,Medium,63.887238,3348,453,https://leetcode.com/problems/gas-station/
