#,title,acRate,difficulty,freq,likes,dislikes,link
1,Two Sum,47.207916,Easy,99.247871,22274,756,https://leetcode.com/problems/two-sum/
2,Add Two Numbers,36.304276,Medium,95.285525,12609,2893,https://leetcode.com/problems/add-two-numbers/
3,Longest Substring Without Repeating Characters,31.863524,Medium,93.781268,15560,776,https://leetcode.com/problems/longest-substring-without-repeating-characters/
4,Median of Two Sorted Arrays,32.073572,Hard,93.561903,11028,1594,https://leetcode.com/problems/median-of-two-sorted-arrays/
5,Longest Palindromic Substring,30.952864,Medium,87.691412,11783,731,https://leetcode.com/problems/longest-palindromic-substring/
9,Palindrome Number,50.701105,Easy,57.982623,3540,1780,https://leetcode.com/problems/palindrome-number/
10,Regular Expression Matching,27.683603,Hard,66.161636,6099,873,https://leetcode.com/problems/regular-expression-matching/
11,Container With Most Water,53.042400,Medium,78.330851,10352,741,https://leetcode.com/problems/container-with-most-water/
13,Roman to Integer,57.351856,Easy,71.743101,1033,86,https://leetcode.com/problems/roman-to-integer/
14,Longest Common Prefix,36.936129,Easy,77.677425,4625,2326,https://leetcode.com/problems/longest-common-prefix/
15,3Sum,28.826729,Medium,90.135550,11543,1146,https://leetcode.com/problems/3sum/
16,3Sum Closest,46.450477,Medium,69.568680,3621,182,https://leetcode.com/problems/3sum-closest/
17,Letter Combinations of a Phone Number,50.710736,Medium,79.082980,6577,546,https://leetcode.com/problems/letter-combinations-of-a-phone-number/
18,4Sum,35.774230,Medium,65.245167,3695,446,https://leetcode.com/problems/4sum/
19,Remove Nth Node From End of List,36.443921,Medium,38.060223,5941,329,https://leetcode.com/problems/remove-nth-node-from-end-of-list/
20,Valid Parentheses,40.210703,Easy,92.057645,8038,330,https://leetcode.com/problems/valid-parentheses/
21,Merge Two Sorted Lists,57.112495,Easy,66.895596,7375,807,https://leetcode.com/problems/merge-two-sorted-lists/
22,Generate Parentheses,66.975226,Medium,63.311613,8672,355,https://leetcode.com/problems/generate-parentheses/
23,Merge k Sorted Lists,43.844018,Hard,86.939283,7782,366,https://leetcode.com/problems/merge-k-sorted-lists/
24,Swap Nodes in Pairs,54.454116,Medium,26.730731,3999,222,https://leetcode.com/problems/swap-nodes-in-pairs/
25,Reverse Nodes in k-Group,46.471961,Hard,67.981441,4129,414,https://leetcode.com/problems/reverse-nodes-in-k-group/
28,Implement strStr(),35.674572,Easy,29.290278,2590,2509,https://leetcode.com/problems/implement-strstr/
31,Next Permutation,34.235252,Medium,83.038949,6171,2059,https://leetcode.com/problems/next-permutation/
32,Longest Valid Parentheses,30.210073,Hard,57.159152,5555,194,https://leetcode.com/problems/longest-valid-parentheses/
33,Search in Rotated Sorted Array,36.484819,Medium,84.426312,8498,704,https://leetcode.com/problems/search-in-rotated-sorted-array/
34,Find First and Last Position of Element in Sorted Array,38.198867,Medium,61.522566,6212,215,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/
35,Search Insert Position,42.781084,Easy,25.887184,3866,306,https://leetcode.com/problems/search-insert-position/
36,Valid Sudoku,51.549513,Medium,53.718479,2807,580,https://leetcode.com/problems/valid-sudoku/
37,Sudoku Solver,48.541450,Hard,68.979354,3117,114,https://leetcode.com/problems/sudoku-solver/
39,Combination Sum,60.826647,Medium,57.067686,6565,165,https://leetcode.com/problems/combination-sum/
40,Combination Sum II,51.048299,Medium,15.752729,3105,94,https://leetcode.com/problems/combination-sum-ii/
41,First Missing Positive,34.528482,Hard,81.650196,6245,1052,https://leetcode.com/problems/first-missing-positive/
42,Trapping Rain Water,52.415409,Hard,96.789783,12347,176,https://leetcode.com/problems/trapping-rain-water/
43,Multiply Strings,35.548604,Medium,52.276833,2725,1088,https://leetcode.com/problems/multiply-strings/
44,Wildcard Matching,25.802712,Hard,63.752700,3264,155,https://leetcode.com/problems/wildcard-matching/
45,Jump Game II,33.346875,Medium,56.993749,4879,200,https://leetcode.com/problems/jump-game-ii/
46,Permutations,68.205027,Medium,60.770438,6644,139,https://leetcode.com/problems/permutations/
47,Permutations II,50.714208,Medium,17.520819,3268,81,https://leetcode.com/problems/permutations-ii/
48,Rotate Image,62.242320,Medium,73.881037,5555,362,https://leetcode.com/problems/rotate-image/
49,Group Anagrams,60.658713,Medium,84.905063,5900,240,https://leetcode.com/problems/group-anagrams/
